quadrimestre,turma,turno,campus,matriz,docente_id,periodo_ideal,n_A,n_B,n_C,n_D,n_F,n_O,n_incompleto,n_sem_conceito,n_avaliados,n_aprovados,n_reprovados,taxa_reprov
2014.2,,diurno,SA,pre-2015,,1,9,11,4,1,3,1,0,0,29,25,4,0.13793103448275862
2014.2,,diurno,SA,pre-2015,,1,12,10,0,4,2,2,0,0,30,26,4,0.13333333333333333
2014.2,,diurno,SA,pre-2015,,1,2,10,7,2,4,1,0,0,26,21,5,0.19230769230769232
2014.2,,diurno,SA,pre-2015,,1,5,6,13,2,3,1,0,0,30,26,4,0.13333333333333333
2014.2,,diurno,SA,pre-2015,,1,0,1,0,1,2,5,0,0,9,2,7,0.7777777777777778
2014.2,,noturno,SA,pre-2015,,1,3,2,0,1,12,4,0,0,22,6,16,0.7272727272727273
2014.2,,noturno,SBC,pre-2015,,1,9,2,8,2,6,3,0,0,30,21,9,0.3
2014.2,,noturno,SA,pre-2015,,1,2,5,7,2,11,1,0,0,28,16,12,0.42857142857142855
2014.2,,noturno,SA,pre-2015,,1,1,6,5,2,8,6,0,0,28,14,14,0.5
2014.2,,noturno,SBC,pre-2015,,1,3,5,11,2,7,7,0,0,35,21,14,0.4
2014.2,,noturno,SA,pre-2015,,1,6,6,3,1,10,1,0,0,27,16,11,0.4074074074074074
2014.2,,noturno,SA,pre-2015,,1,15,6,5,0,4,0,0,0,30,26,4,0.13333333333333333
2014.2,,noturno,SA,pre-2015,,1,4,8,6,0,8,2,0,0,28,18,10,0.35714285714285715
2014.2,,noturno,SA,pre-2015,,1,9,8,6,2,3,1,0,0,29,25,4,0.13793103448275862
2014.2,,noturno,SBC,pre-2015,,1,3,10,4,2,8,1,0,0,28,19,9,0.32142857142857145
2014.2,,noturno,SA,pre-2015,,1,4,2,1,0,5,9,0,0,21,7,14,0.6666666666666666
2014.2,,noturno,SBC,pre-2015,,1,15,5,2,2,3,2,0,0,29,24,5,0.1724137931034483
2014.2,,noturno,SA,pre-2015,,1,16,9,4,0,0,0,0,0,29,29,0,0.0
2014.2,,noturno,SA,pre-2015,,1,4,5,4,2,8,2,0,0,25,15,10,0.4
2014.2,,noturno,SA,pre-2015,,1,5,5,5,1,7,5,0,0,28,16,12,0.42857142857142855
2014.2,,noturno,SA,pre-2015,,1,2,3,5,6,2,6,0,0,24,16,8,0.3333333333333333
2014.2,,noturno,SA,pre-2015,,1,3,4,2,0,15,1,0,0,25,9,16,0.64
2014.3,,diurno,SA,pre-2015,,0,3,5,1,5,1,2,0,0,17,14,3,0.17647058823529413
2014.3,,diurno,SBC,pre-2015,,0,6,11,4,3,1,1,0,0,26,24,2,0.07692307692307693
2014.3,,diurno,SA,pre-2015,,0,4,2,1,1,4,7,0,0,19,8,11,0.5789473684210527
2014.3,,diurno,SBC,pre-2015,,0,0,8,4,3,3,2,0,0,20,15,5,0.25
2014.3,,diurno,SA,pre-2015,,0,2,2,2,1,6,5,0,0,18,7,11,0.6111111111111112
2014.3,,diurno,SBC,pre-2015,,0,6,4,9,0,4,0,0,0,23,19,4,0.17391304347826086
2014.3,,diurno,,pre-2015,,0,11,23,33,24,50,6,0,0,147,91,56,0.38095238095238093
2014.3,,noturno,SA,pre-2015,,0,3,2,7,1,6,5,0,0,24,13,11,0.4583333333333333
2014.3,,noturno,SA,pre-2015,,0,1,4,5,2,1,8,0,0,21,12,9,0.42857142857142855
2014.3,,noturno,SA,pre-2015,,0,3,4,4,2,5,4,0,0,22,13,9,0.4090909090909091
2015.1,,diurno,SA,pre-2015,,1,13,14,3,0,0,0,0,0,30,30,0,0.0
