term,class_label,shift,campus,curriculum,on_schedule_term,instructor_prior,n_A,n_B,n_C,n_D,n_F,n_O,n_I,n_no_grade,n_assessed,n_passed,n_failed
2017.1,,evening,1,2015,1,False,0,7,5,1,15,0,0,0,28,13,15
2017.1,,evening,2,2015,1,False,9,11,6,5,5,1,0,0,37,31,6
2017.1,,evening,1,2015,1,False,4,11,6,4,5,0,0,0,30,25,5
2017.1,,evening,2,2015,1,False,4,9,4,1,1,6,0,0,25,18,7
2017.1,,evening,1,2015,1,False,2,7,6,2,13,0,0,0,30,17,13
2017.1,,evening,2,2015,1,False,5,7,3,1,6,1,0,0,23,16,7
2017.1,,evening,1,2015,1,False,3,6,11,5,2,1,0,0,28,25,3
2017.1,,evening,1,2015,1,False,2,3,13,4,6,0,0,0,28,22,6
2017.1,,evening,1,2015,1,False,1,1,0,5,7,4,0,0,18,7,11
2017.1,,evening,1,2015,1,False,10,8,8,1,2,0,0,0,29,27,2
2017.1,,evening,1,2015,1,False,9,13,6,0,1,0,0,0,29,28,1
2017.1,,evening,1,2015,1,False,7,10,7,1,4,0,0,0,29,25,4
2017.1,,evening,1,2015,1,False,2,6,7,3,9,1,0,0,28,18,10
2017.1,,evening,2,2015,1,False,4,2,7,6,6,11,0,0,36,19,17
2017.1,,evening,1,2015,1,False,10,6,6,1,6,0,0,0,29,23,6
2017.1,,evening,1,2015,1,False,1,6,3,5,11,3,0,0,29,15,14
2017.1,,evening,1,2015,1,False,1,2,4,3,11,0,0,0,21,10,11
2017.1,,evening,1,2015,1,False,1,4,5,1,14,0,0,0,25,11,14
2017.1,,evening,1,2015,1,False,4,9,11,2,2,0,0,0,28,26,2
2017.2,,day,1,2015,0,False,5,7,5,2,8,3,0,0,30,19,11
2017.2,,day,2,2015,0,False,7,9,4,2,5,7,0,0,34,22,12
2017.2,,day,1,2015,0,False,8,4,4,1,10,2,0,0,29,17,12
2017.2,,day,1,2015,0,False,6,9,2,1,6,4,0,0,28,18,10
2017.2,,day,1,2015,0,False,7,24,25,32,18,0,0,0,106,88,18
2017.2,,day,2,2015,0,False,1,5,8,18,21,0,0,0,53,32,21
2017.2,,evening,1,2015,0,False,5,3,2,2,7,0,7,0,19,12,7
2017.2,,evening,2,2015,0,False,8,4,8,0,10,3,0,0,33,20,13
2017.2,,evening,1,2015,0,False,14,5,2,0,4,0,2,0,25,21,4
2017.3,,day,1,2015,0,False,10,13,17,7,38,23,0,0,108,47,61
2017.3,,day,2,2015,0,False,3,4,7,4,17,10,0,0,45,18,27
2018.1,,day,1,2015,1,False,16,4,3,1,4,0,0,0,28,24,4
2018.1,,day,2,2015,1,False,7,5,9,0,1,2,0,0,24,21,3
2018.1,,day,1,2015,1,False,13,6,4,0,4,0,0,0,27,23,4
2018.1,,day,1,2015,1,False,7,2,0,5,5,0,0,0,19,14,5
2018.1,,day,2,2015,1,False,19,12,3,2,2,1,0,0,39,36,3
2018.1,,day,1,2015,1,False,2,7,8,1,7,4,0,0,29,18,11
2018.1,,day,2,2015,1,False,4,6,3,0,2,2,0,0,17,13,4
2018.1,,day,1,2015,1,False,6,12,5,1,3,1,0,0,28,24,4
2018.1,,day,1,2015,1,False,7,10,5,2,3,0,0,0,27,24,3
2018.1,,day,1,2015,1,False,3,8,3,4,7,2,0,0,27,18,9
2018.1,,day,1,2015,1,False,1,3,6,1,12,3,0,0,26,11,15
2018.1,,day,1,2015,1,False,2,7,5,1,10,2,0,0,27,15,12
2018.1,,day,1,2015,1,False,7,10,7,3,1,0,0,0,28,27,1
2018.1,,day,2,2015,1,False,7,15,5,1,3,4,0,0,35,28,7
2018.1,,day,1,2015,1,False,6,15,4,3,2,0,0,0,30,28,2
2018.1,,day,1,2015,1,False,16,9,1,0,2,1,0,0,29,26,3
2018.1,,day,1,2015,1,False,3,9,8,2,4,0,0,0,26,22,4
2018.1,,day,1,2015,1,False,0,7,11,4,8,0,0,0,30,22,8
2018.1,,day,1,2015,1,False,2,4,7,0,13,3,0,0,29,13,16
2018.1,,day,1,2015,1,False,22,21,21,27,5,12,0,0,108,91,17
2018.1,,day,2,2015,1,False,8,8,6,13,6,13,0,0,54,35,19
2018.1,,evening,1,2015,1,False,3,6,0,3,8,8,0,0,28,12,16
2018.1,,evening,2,2015,1,False,6,6,8,2,7,9,0,0,38,22,16
2018.1,,evening,1,2015,1,False,1,0,3,0,8,0,7,0,12,4,8
2018.1,,evening,2,2015,1,False,3,6,8,1,11,3,0,0,32,18,14
2018.1,,evening,1,2015,1,False,5,5,2,5,8,2,0,0,27,17,10
2018.1,,evening,1,2015,1,False,5,5,6,4,5,2,0,0,27,20,7
2018.1,,evening,1,2015,1,False,8,6,9,0,1,4,0,0,28,23,5
2018.1,,evening,1,2015,1,False,6,2,5,1,10,6,0,0,30,14,16
2018.1,,evening,1,2015,1,False,5,5,3,6,6,4,0,0,29,19,10
2018.1,,evening,1,2015,1,False,0,6,7,6,3,4,0,0,26,19,7
2018.1,,evening,2,2015,1,False,15,8,7,4,4,2,0,0,40,34,6
2018.1,,evening,1,2015,1,False,1,2,10,5,7,4,0,0,29,18,11
2018.1,,evening,2,2015,1,False,13,15,6,2,4,0,0,2,40,36,4
2018.1,,evening,1,2015,1,False,0,11,6,7,4,2,0,0,30,24,6
2018.1,,evening,1,2015,1,False,14,5,2,2,4,0,0,0,27,23,4
2018.1,,evening,1,2015,1,False,9,11,2,0,8,0,0,0,30,22,8
2018.1,,evening,1,2015,1,False,17,9,3,1,2,0,0,0,32,30,2
2018.2,,day,1,2015,0,False,5,6,4,6,5,2,0,0,28,21,7
2018.2,,day,1,2015,0,False,0,5,4,1,5,10,0,0,25,10,15
2018.2,,day,1,2015,0,False,1,4,5,2,4,11,0,0,27,12,15
2018.2,,day,2,2015,0,False,1,3,4,4,6,8,0,0,26,12,14
2018.2,,day,1,2015,0,False,1,1,12,4,5,5,0,0,28,18,10
2018.2,,day,1,2015,0,False,1,2,6,8,5,6,0,0,28,17,11
2018.2,,day,1,2015,0,False,2,5,5,6,2,7,0,0,27,18,9
2018.2,,evening,1,2015,0,False,0,0,1,0,8,7,0,0,16,1,15
2018.2,,evening,2,2015,0,False,4,4,1,1,4,13,0,0,27,10,17
2018.2,,evening,1,2015,0,False,1,4,2,0,15,1,0,0,23,7,16
2018.3,,day,1,2015,0,False,8,7,12,24,22,31,0,2,104,51,53
2018.3,,day,2,2015,0,False,5,4,7,7,3,9,0,0,35,23,12
2019.1,,day,1,2015,1,False,4,5,2,2,6,9,0,0,28,13,15
2019.1,,day,2,2015,1,False,1,1,4,3,10,7,0,0,26,9,17
2019.1,,day,1,2015,1,False,3,5,2,3,9,3,0,0,25,13,12
2019.1,,day,2,2015,1,False,9,18,3,2,6,2,0,0,40,32,8
2019.1,,day,1,2015,1,False,3,9,3,0,7,4,0,0,26,15,11
2019.1,,day,2,2015,1,False,2,3,3,2,4,0,0,0,14,10,4
2019.1,,day,1,2015,1,False,19,1,5,2,2,1,0,0,30,27,3
2019.1,,day,2,2015,1,False,1,0,1,0,0,1,0,0,3,2,1
2019.1,,day,1,2015,1,False,2,7,9,3,5,2,0,0,28,21,7
2019.1,,day,1,2015,1,False,13,3,6,3,3,0,0,0,28,25,3
2019.1,,day,1,2015,1,False,16,5,3,1,3,0,0,0,28,25,3
2019.1,,day,1,2015,1,False,10,9,8,1,1,1,0,0,30,28,2
2019.1,,day,1,2015,1,False,3,6,6,2,9,2,0,0,28,17,11
2019.1,,day,1,2015,1,False,4,1,6,3,9,3,0,0,26,14,12
2019.1,,day,2,2015,1,False,1,4,2,0,2,0,0,0,9,7,2
2019.1,,day,1,2015,1,False,6,5,11,3,4,0,0,0,29,25,4
2019.1,,day,2,2015,1,False,8,8,2,5,7,3,0,0,33,23,10
2019.1,,day,1,2015,1,False,2,2,4,3,9,4,0,0,24,11,13
2019.1,,day,2,2015,1,False,6,7,8,0,2,0,0,0,23,21,2
2019.1,,day,1,2015,1,False,5,10,7,3,3,0,0,0,28,25,3
2019.1,,day,2,2015,1,False,4,9,8,0,0,0,0,0,21,21,0
2019.1,,day,1,2015,1,False,4,6,4,2,6,3,0,0,25,16,9
2019.1,,day,1,2015,1,False,5,9,6,2,4,0,0,0,26,22,4
2019.1,,day,1,2015,1,False,37,25,20,18,5,10,0,0,115,100,15
2019.1,,day,2,2015,1,False,15,5,6,4,2,22,0,0,54,30,24
2019.1,,evening,1,2015,1,False,1,2,3,2,18,0,0,0,26,8,18
2019.1,,evening,2,2015,1,False,5,8,16,2,8,0,0,2,39,31,8
2019.1,,evening,1,2015,1,False,1,2,5,3,16,0,0,0,27,11,16
2019.1,,evening,2,2015,1,False,1,0,4,2,14,15,0,0,36,7,29
2019.1,,evening,1,2015,1,False,1,1,1,4,21,0,0,0,28,7,21
2019.1,,evening,2,2015,1,False,3,1,4,3,19,0,0,0,30,11,19
2019.1,,evening,1,2015,1,False,1,4,6,4,12,1,0,0,28,15,13
2019.1,,evening,2,2015,1,False,1,0,0,0,3,0,0,0,4,1,3
2019.1,,evening,1,2015,1,False,8,15,4,0,3,0,0,0,30,27,3
2019.1,,evening,1,2015,1,False,0,5,5,4,13,1,0,0,28,14,14
